Date,Open,High,Low,Close,Adj Close,Volume
2014-12-17,21.549999,21.549999,21.549999,21.549999,19.013922,0
2014-12-18,22.020000,22.020000,22.020000,22.020000,19.428610,0
2014-12-19,22.049999,22.049999,22.049999,22.049999,19.455086,0
2014-12-22,22.240000,22.240000,22.240000,22.240000,19.622726,0
2014-12-23,22.330000,22.330000,22.330000,22.330000,19.702129,0
2014-12-24,22.299999,22.299999,22.299999,22.299999,19.675659,0
2014-12-26,22.330000,22.330000,22.330000,22.330000,19.702129,0
2014-12-29,22.320000,22.320000,22.320000,22.320000,19.693308,0
2014-12-30,22.240000,22.240000,22.240000,22.240000,19.622726,0
2014-12-31,22.030001,22.030001,22.030001,22.030001,19.437435,0
2015-01-02,21.990000,21.990000,21.990000,21.990000,19.402149,0
2015-01-05,21.620001,21.620001,21.620001,21.620001,19.075693,0
2015-01-06,21.440001,21.440001,21.440001,21.440001,18.916872,0
2015-01-07,21.719999,21.719999,21.719999,21.719999,19.163916,0
2015-01-08,22.100000,22.100000,22.100000,22.100000,19.499203,0
2015-01-09,21.920000,21.920000,21.920000,21.920000,19.340380,0
2015-01-12,21.750000,21.750000,21.750000,21.750000,19.190392,0
2015-01-13,21.700001,21.700001,21.700001,21.700001,19.146276,0
2015-01-14,21.570000,21.570000,21.570000,21.570000,19.031570,0
2015-01-15,21.469999,21.469999,21.469999,21.469999,18.943338,0
2015-01-16,21.730000,21.730000,21.730000,21.730000,19.172741,0
2015-01-20,21.709999,21.709999,21.709999,21.709999,19.155098,0
2015-01-21,21.780001,21.780001,21.780001,21.780001,19.216858,0
2015-01-22,22.100000,22.100000,22.100000,22.100000,19.499203,0
2015-01-23,21.959999,21.959999,21.959999,21.959999,19.375677,0
2015-01-26,22.020000,22.020000,22.020000,22.020000,19.428610,0
2015-01-27,21.799999,21.799999,21.799999,21.799999,19.234505,0
2015-01-28,21.510000,21.510000,21.510000,21.510000,18.978634,0
2015-01-29,21.629999,21.629999,21.629999,21.629999,19.084507,0
2015-01-30,21.280001,21.280001,21.280001,21.280001,18.775700,0
2015-02-02,21.570000,21.570000,21.570000,21.570000,19.031570,0
2015-02-03,21.920000,21.920000,21.920000,21.920000,19.340380,0
2015-02-04,21.809999,21.809999,21.809999,21.809999,19.243324,0
2015-02-05,22.040001,22.040001,22.040001,22.040001,19.446260,0
2015-02-06,21.980000,21.980000,21.980000,21.980000,19.393322,0
2015-02-09,21.860001,21.860001,21.860001,21.860001,19.287445,0
