timestamp,open,high,low,close,adjusted close,volume,dividend amount
2015-09-04,109.2800,109.3700,108.7700,109.2700,94.8665,14656901,0.2224
2015-08-28,110.0000,110.3400,108.8800,109.0000,94.4394,22319576,0.0000
2015-08-21,109.3300,109.8650,108.9600,109.7600,95.0979,7876375,0.0000
2015-08-14,109.1500,109.7100,108.8500,109.0700,94.5001,7843643,0.0000
2015-08-07,109.2900,109.5400,108.7238,109.2000,94.6127,9763325,0.2129
2015-07-31,109.2500,109.5100,108.9400,109.5000,94.6884,10856103,0.0000
2015-07-24,108.6700,109.2400,108.5100,109.1200,94.3598,5750382,0.0000
2015-07-17,108.2400,108.8600,108.1400,108.7900,94.0745,7353532,0.0000
2015-07-10,108.8800,109.3800,108.2800,108.3800,93.7199,10599878,0.0000
2015-07-02,108.6000,109.0000,108.1500,108.4400,93.7718,12443335,0.2164
2015-06-26,108.9500,108.9999,108.1100,108.2100,93.3863,6317327,0.0000
2015-06-19,108.9600,109.2600,108.4400,109.2100,94.2493,9837974,0.0000
2015-06-12,108.7600,108.8950,108.0400,108.5800,93.7056,6893179,0.0000
2015-06-05,109.9500,109.9900,108.5100,108.5500,93.6797,13097754,0.2063
2015-05-29,109.8000,110.3000,109.7500,110.1700,94.8992,7742810,0.0000
2015-05-22,109.9300,110.0100,109.3900,109.7900,94.5719,7851947,0.0000
2015-05-15,110.0200,110.2200,109.3800,110.2000,94.9250,9665785,0.0000
2015-05-08,110.4200,110.4715,109.6139,110.2900,95.0026,8618999,0.0000
2015-05-01,111.5100,111.5600,110.2450,110.3400,95.0456,9196553,0.2061
2015-04-24,111.6700,111.7300,111.1000,111.5000,95.8658,6050199,0.0000
2015-04-17,111.2500,111.8000,111.2500,111.6700,96.0120,5680286,0.0000
2015-04-10,111.7800,111.7800,111.1700,111.2500,95.6509,7533244,0.0000
2015-04-02,111.3400,111.6300,111.1600,111.4300,95.8056,7957836,0.2107
2015-03-27,111.3700,111.7500,110.9950,111.1900,95.4191,12368323,0.0000
2015-03-20,110.6200,111.3900,110.4200,111.3200,95.5306,10490570,0.0000
2015-03-13,110.1700,110.7232,109.9100,110.3400,94.6896,10256628,0.0000
2015-03-06,110.9900,110.9900,109.6000,109.7000,94.1404,16513237,0.1857
2015-02-27,110.6900,111.3200,110.5500,111.2000,95.2675,11397921,0.0000
2015-02-20,110.6700,110.8800,110.2401,110.5500,94.7106,7209194,0.0000
2015-02-13,111.3100,111.3100,110.7100,110.7600,94.8906,8630816,0.0000
2015-02-06,112.0600,112.2300,111.0300,111.0600,95.1476,11501395,0.1761
2015-01-30,111.7900,112.5200,111.4500,112.3800,96.1275,13674315,0.0000
2015-01-23,111.7500,111.8400,111.2900,111.7100,95.5544,7645016,0.0000
2015-01-16,111.1600,111.9400,111.0300,111.5000,95.3748,15594138,0.0000
2015-01-09,110.5600,111.3500,110.4800,111.0300,94.9728,14653396,0.0000
2015-01-02,109.9400,110.5000,109.8300,110.4300,94.4595,8852935,0.0000
2014-12-26,110.3500,110.4600,109.4600,109.7400,93.8693,8665641,0.3693
2014-12-19,110.3800,110.6750,110.0600,110.2800,94.0147,9850631,0.0000
2014-12-12,109.8100,110.6600,109.5600,110.5600,94.2534,6556969,0.0000
2014-12-05,110.6000,110.6000,109.6100,109.6200,93.4520,12758484,0.2820
2014-11-28,109.8500,110.6200,109.8389,110.6100,94.0550,7821299,0.0000
2014-11-21,109.9600,109.9600,109.5600,109.9000,93.4513,6533950,0.0000
2014-11-14,109.9000,109.9400,109.5900,109.8600,93.4173,5042847,0.0000
2014-11-07,109.8300,109.9200,109.5000,109.9100,93.4598,10381096,0.1920
2014-10-31,110.2800,110.3300,109.7083,109.8880,93.2778,9417252,0.0000
2014-10-24,110.6900,110.7267,110.1300,110.2700,93.6021,10374466,0.0000
2014-10-17,110.1500,112.0800,110.0400,110.5200,93.8143,10751011,0.0000
2014-10-10,109.4000,110.1400,109.3100,109.9900,93.3644,10189387,0.0000
2014-10-03,109.1600,109.6300,109.0601,109.3000,92.7787,23940004,0.1890
2014-09-26,108.8600,109.1000,108.7600,109.0600,92.4155,5025685,0.0000
2014-09-19,108.7300,108.8400,108.4500,108.6800,92.0935,4406500,0.0000
2014-09-12,109.4900,109.5400,108.5950,108.6300,92.0512,4640300,0.0000
2014-09-05,109.5500,109.6300,109.2900,109.3700,92.6782,4448400,0.1947
2014-08-29,109.6900,110.0900,109.5200,109.9800,93.0297,7480300,0.0000
2014-08-22,109.7900,109.8200,109.3500,109.5600,92.6744,5752100,0.0000
2014-08-15,109.3900,110.1200,109.3100,109.8900,92.9535,9646700,0.0000
2014-08-08,109.2000,109.6300,108.9500,109.3800,92.5221,6666500,0.0000
2014-08-01,109.3700,109.5200,108.7600,109.1400,92.3191,7025900,0.2000
2014-07-25,109.3500,109.5500,109.1200,109.3300,92.3107,3381800,0.0000
2014-07-18,109.1100,109.3800,108.9000,109.2200,92.2178,3798200,0.0000
2014-07-11,108.6800,109.2700,108.6207,109.1600,92.1671,5461100,0.0000
2014-07-03,109.4700,109.5000,108.4701,108.6200,91.7112,4101300,0.1956
2014-06-27,108.9900,109.5000,108.8400,109.3900,92.1960,3356100,0.0000
2014-06-20,108.8700,109.0300,108.6100,108.9400,91.8168,4036200,0.0000
2014-06-13,108.8400,108.9999,108.6200,108.8800,91.7662,5393000,0.0000
2014-06-06,109.2900,109.3600,108.7300,108.8800,91.7662,6616200,0.2070
2014-05-30,109.2500,109.8300,109.1000,109.4600,92.0803,7991000,0.0000
2014-05-23,109.3400,109.3900,109.0601,109.2300,91.8868,3921900,0.0000
2014-05-16,108.6400,109.4500,108.5400,109.2000,91.8616,5339600,0.0000
